episode_seed,e0_benchmark,safe_benchmark,benchmark_change,e0_strict,safe_strict,strict_change
30000,0,0,0,0,0,0
30001,1,1,0,1,1,0
30002,1,1,0,0,0,0
30003,1,1,0,1,0,-1
30004,1,1,0,0,0,0
30005,1,1,0,0,0,0
30006,1,1,0,0,0,0
30007,0,0,0,0,0,0
30008,1,1,0,1,0,-1
30009,1,1,0,1,0,-1
30010,1,1,0,1,1,0
30011,1,1,0,0,0,0
30012,1,1,0,1,0,-1
30013,1,1,0,0,0,0
30014,1,1,0,1,1,0
30015,0,0,0,0,0,0
30016,1,1,0,1,1,0
30017,0,0,0,0,0,0
30018,0,0,0,0,0,0
30019,1,1,0,1,1,0
30020,0,0,0,0,0,0
30021,1,1,0,0,0,0
30022,1,1,0,1,1,0
30023,0,0,0,0,0,0
30024,0,0,0,0,0,0
30025,1,1,0,1,1,0
30026,1,1,0,1,0,-1
30027,1,1,0,1,1,0
30028,1,1,0,1,1,0
30029,0,0,0,0,0,0
30030,0,0,0,0,0,0
30031,0,0,0,0,0,0
30032,1,1,0,0,0,0
30033,0,0,0,0,0,0
30034,0,1,1,0,1,1
30035,1,1,0,1,1,0
30036,1,1,0,1,0,-1
30037,1,1,0,0,0,0
30038,0,0,0,0,0,0
30039,1,1,0,1,1,0
30040,1,1,0,1,1,0
30041,0,0,0,0,0,0
30042,1,1,0,1,0,-1
30043,1,1,0,1,1,0
30044,1,1,0,0,0,0
30045,0,1,1,0,0,0
30046,1,1,0,0,1,1
30047,0,0,0,0,0,0
30048,1,1,0,0,0,0
30049,0,0,0,0,0,0
30050,1,1,0,1,0,-1
30051,1,1,0,1,1,0
30052,0,0,0,0,0,0
30053,0,0,0,0,0,0
30054,1,0,-1,1,0,-1
30055,1,0,-1,0,0,0
30056,1,1,0,0,0,0
30057,0,0,0,0,0,0
30058,1,1,0,0,0,0
30059,0,0,0,0,0,0
30060,0,0,0,0,0,0
30061,0,0,0,0,0,0
30062,0,0,0,0,0,0
30063,1,1,0,0,0,0
30064,1,1,0,1,1,0
30065,0,0,0,0,0,0
30066,1,1,0,1,0,-1
30067,1,1,0,1,0,-1
30068,0,0,0,0,0,0
30069,1,1,0,1,1,0
30070,1,1,0,0,0,0
30071,0,0,0,0,0,0
30072,0,0,0,0,0,0
30073,0,0,0,0,0,0
30074,1,1,0,1,0,-1
30075,0,1,1,0,0,0
30076,1,1,0,1,1,0
30077,1,1,0,0,0,0
30078,1,1,0,0,0,0
30079,1,1,0,1,1,0
30080,0,0,0,0,0,0
30081,1,0,-1,0,0,0
30082,0,0,0,0,0,0
30083,1,1,0,0,0,0
30084,0,0,0,0,0,0
30085,1,1,0,0,0,0
30086,1,1,0,1,1,0
30087,1,1,0,0,0,0
30088,1,1,0,0,0,0
30089,0,0,0,0,0,0
30090,0,0,0,0,0,0
30091,1,0,-1,0,0,0
30092,1,1,0,1,1,0
30093,0,0,0,0,0,0
30094,1,0,-1,0,0,0
30095,1,1,0,1,0,-1
30096,1,1,0,1,1,0
30097,1,1,0,0,0,0
30098,0,0,0,0,0,0
30099,1,0,-1,0,0,0
