online_steps,update_critic_loss,update_q_mean,update_q_std,update_q_abs_p99,update_q_target_mean,update_q_target_std,update_actor_loss,update_normalized_q_gain,update_anchor_loss,update_q_scale,update_q_base,update_q_executed,update_predicted_q_gain,update_correction_rms,update_correction_rms_max_dim,update_z_extreme_rate,update_base_boundary_rate,update_executed_boundary_rate,update_residual_added_boundary_rate,update_numerical_clamp_count,update_residual_log_prob,action_rho_effective,action_correction_rms,action_correction_rms_max_dim_sample,action_z_extreme_rate,action_base_boundary_rate,action_executed_action_boundary_rate,action_residual_added_boundary_rate,action_numerical_clamp_count,episode_goal_entry,episode_goal_exit_after_entry,episode_consecutive_success_window,episode_strict_stable_success,episode_raw_episode_return,episode_episode_length
1000,0.0200329957522917,0.9473453135341404,1.5758395570591093,3.763596903175116,0.948487364023924,1.58506182461977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4365416767895221,0.4365416767895221,0.0,0.0,0.2,0.0,0.2,0.2,1192.6151327735167,200.0
2000,0.1491926885545254,2.6356606122255326,3.736024205207825,9.08381445837021,2.636187373638153,3.750341686487198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.6,0.4,0.4,0.2,1779.1703316492044,200.0
3000,0.1744879435300827,4.535306557416916,5.822351266860962,14.417644771575928,4.53603808259964,5.835901854515075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.4,0.2,0.4,0.2,1687.046939901237,200.0
4000,0.1510721983164548,6.376609211444855,7.848758865833282,19.554180225372317,6.377090596675873,7.861598188877106,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.0,0.0,0.0,0.0,46.64595918150971,200.0
5000,0.1369235336482525,8.045087029457092,9.799617676734924,24.48934243965149,8.0454389128685,9.813018138885498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.2,0.0,0.2,0.2,1532.565899367332,200.0
6000,0.1496908406466245,9.714299869060516,11.68458738231659,29.19870537185669,9.714758103370666,11.69931247997284,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.4,0.2,0.4,0.2,1701.865544681861,200.0
7000,0.1498774160593748,11.27224069786072,13.444539800643922,33.681023382186886,11.272720308303834,13.460715805053711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.2,0.2,0.0,0.0,228.09779395340564,200.0
8000,0.1480183118022978,12.743632304191587,15.127732340812685,37.93178042984009,12.744015375137328,15.145162592887878,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.0,0.0,0.0,0.0,-3.4212123075026897,200.0
9000,0.1466915669776499,14.127323872566222,16.74891890335083,41.9531339225769,14.127645977020263,16.76770249557495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.6,0.4,0.2,0.2,1912.074888200172,200.0
10000,0.1566412048488855,15.467558391571044,18.27656729888916,45.80885296249389,15.46794899559021,18.296814220428463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4393750098347664,0.4393750098347664,0.0,0.0,0.2,0.2,0.0,0.0,326.13883983886683,200.0
11000,0.1440628685429692,16.720531679153442,19.75584176826477,49.47391272354126,16.72091875076294,19.777100452423092,0.0003707772897905,0.0001983316236153,0.0014256080249763,4.476079626321793,2.6575721583366394,2.658564036369324,0.0009918837565055,0.000715637656657,0.0018568368134974,0.0,0.2194799854457378,0.2186494191586971,0.0,0.0,20.07605206298828,0.005005,0.0013106979455329,0.0038005706624072,0.0,0.4398333432972431,0.4387500099539757,4.16666679084301e-05,0.0,0.0,0.0,0.0,0.0,-3.66910594513067,200.0
12000,0.148607149079442,18.01758595848084,21.175321630477907,52.9385659828186,18.01794710254669,21.197842266082763,0.0001847373996279,0.0003206308698281,0.0030340649997815,5.618321629047394,2.8329884104728698,2.834790993213653,0.0018025779116433,0.0011673549320548,0.0027007536096498,0.0,0.2195581105351448,0.2187386116683483,3.092447997187264e-05,0.0,19.86390390014649,0.015005,0.0021744996430352,0.0059540605884976,0.0,0.4404166766703128,0.4395416766405106,0.0001250000037252,0.0,0.0,0.0,0.0,0.0,260.28717535147746,200.0
13000,0.1389905156195163,19.16210846710205,22.52442835235596,56.23447303771973,19.16252271080017,22.548350564956664,0.000168995636719,0.000336539426702,0.0033909431165084,5.896877438545227,2.968943416595459,2.9709281501770017,0.00198473818833,0.0012346439044922,0.0028184487088583,0.0,0.2196746467649936,0.2192653045654297,0.0001111653672996,0.0,19.81010036087036,0.025005,0.0023171379147097,0.0064086013670312,0.0,0.4434166759848594,0.4432500092685222,0.0004583333469927,0.0,0.2,0.2,0.2,0.0,628.8732686997897,200.0
14000,0.1395445319861173,20.2043438205719,23.77273357963562,59.37845147323608,20.20466632270813,23.797694780349733,0.0001611030905332,0.0003427047095028,0.0036494202702306,6.164705122947693,3.105529453277588,3.1076418423652648,0.0021123939768876,0.0012809693191666,0.0030412961021065,0.0,0.2199212290048599,0.2197721402645111,0.000158203128798,0.0,19.80735260009765,0.035005,0.00243297168985,0.0070396292742807,0.0,0.4432500092685222,0.4435416759252548,0.0007916666902601,0.0,0.2,0.0,0.2,0.2,1453.8655093877808,200.0
15000,0.1409264940395951,21.342923831939697,25.032032321929933,62.378365665435794,21.343298740386963,25.057929349899293,0.0001706637909228,0.0003134543506894,0.0035372145976871,6.458670561313629,3.2567140831947325,3.258737862110138,0.0020237758676521,0.0012610023738816,0.0029825581992045,0.0,0.2199210660457611,0.2200353237092495,0.0002729492266516,0.0,19.8417470703125,0.045005,0.0023951163039309,0.0070964561306172,0.0,0.4451666755080223,0.4464583419561386,0.001458333376795,0.0,0.2,0.0,0.2,0.2,1343.6693886247024,200.0
16000,0.1364192894138395,22.316009954452515,26.172049850463868,65.24023238372803,22.31637490653992,26.198891637802124,0.0001721786359557,0.0002956282192608,0.0034558626567013,6.742694921016693,3.3949732537269592,3.3969665031433105,0.001993255641777,0.0012465546824969,0.0029809794570319,0.0,0.2199077196121215,0.2201909229159355,0.0003953450637636,0.0,19.89042274475098,0.05,0.002350742536073,0.0070940565851051,0.0,0.4426666760146618,0.4448333423435688,0.002333333402872,0.0,0.0,0.0,0.0,0.0,33.60958387480071,200.0
