root_id,root_type,split,winner,winner_source,correction_rms,strict,benchmark,goal_exit_avoided,max_goal_streak,goal_steps
root_0003_far_pre_goal_failure,far_pre_goal_failure,train,oracle_direction_gain_1.00,oracle_direction,0.019352034355203312,0,0,0,1,1
root_0005_far_pre_goal_failure,far_pre_goal_failure,train,safe_residual_mean,safe_residual,0.010038195177912712,0,1,0,1,1
root_0015_stable_hold,stable_hold,train,pca_1_neg,pca,0.004680172074586153,0,0,0,1,1
root_0016_goal_entry_pending_exit,goal_entry_pending_exit,train,oracle_direction_gain_0.50,oracle_direction,0.00991121307015419,0,0,0,1,1
root_0017_near_goal,near_goal,train,pca_2_pos,pca,0.00880476584037145,1,1,0,1,1
root_0032_goal_entry_pending_exit,goal_entry_pending_exit,train,pca_1_pos,pca,0.002246599722032746,0,0,0,0,1
root_0040_near_goal,near_goal,train,pca_3_neg,pca,0.003003616196413835,0,0,0,1,1
root_0053_near_goal,near_goal,train,oracle_direction_gain_0.10,oracle_direction,0.0018205621745437384,1,0,1,1,1
root_0058_goal_entry_pending_exit,goal_entry_pending_exit,dev,oracle_direction_gain_1.00,oracle_direction,0.03191115210453669,0,0,0,1,1
root_0070_far_pre_goal_failure,far_pre_goal_failure,train,oracle_direction_gain_1.00,oracle_direction,0.01639128476381302,0,1,0,1,1
root_0078_far_pre_goal_failure,far_pre_goal_failure,train,safe_residual_mean,safe_residual,0.01268298706660668,1,1,0,1,1
root_0088_goal_entry_pending_exit,goal_entry_pending_exit,train,pca_3_neg,pca,0.004275894568612178,0,0,0,1,1
root_0089_stable_hold,stable_hold,train,oracle_direction_gain_1.00,oracle_direction,0.015315673934916655,0,0,1,1,1
root_0091_goal_entry_pending_exit,goal_entry_pending_exit,train,oracle_direction_gain_1.00,oracle_direction,0.026950179909666378,0,0,0,1,1
root_0093_goal_entry_pending_exit,goal_entry_pending_exit,train,oracle_direction_gain_1.00,oracle_direction,0.02486240801711877,0,0,0,1,1
root_0096_far_pre_goal_failure,far_pre_goal_failure,train,pca_1_pos,pca,0.004935506420830886,1,1,0,1,1
root_0098_goal_entry_pending_exit,goal_entry_pending_exit,dev,oracle_direction_gain_1.00,oracle_direction,0.03258876937131087,0,0,0,1,1
