candidate,positive_wins,mean_correction_rms
oracle_direction_gain_1.00,18,0.025069891043973187
pca_2_pos,7,0.008240262090805032
oracle_direction_gain_0.50,4,0.010874121527497966
pca_3_neg,4,0.003799535993797084
pca_2_neg,4,0.006595411919988692
pca_1_neg,3,0.004759051216145356
safe_residual_mean,2,0.011360591122259695
pca_1_pos,2,0.0035910530714318156
pca_0_neg,2,0.002044833536880712
pca_0_pos,2,0.0017418912417876222
pca_3_pos,2,0.004742101300507784
oracle_direction_gain_0.10,1,0.0018205621745437384
oracle_direction_gain_0.25,1,0.00749386427924037
