coverage,false_positive_rate,false_positives,precision,recall,threshold,true_positives
0.9423076923076923,0.926829268292683,38,0.22448979591836735,1.0,0.05,11
0.8076923076923077,0.7560975609756098,31,0.2619047619047619,1.0,0.1,11
0.75,0.6829268292682927,28,0.28205128205128205,1.0,0.15,11
0.6923076923076923,0.6097560975609756,25,0.3055555555555556,1.0,0.2,11
0.6538461538461539,0.5853658536585366,24,0.29411764705882354,0.9090909090909091,0.25,10
0.6153846153846154,0.5609756097560976,23,0.28125,0.8181818181818182,0.3,9
0.5,0.43902439024390244,18,0.3076923076923077,0.7272727272727273,0.4,8
0.38461538461538464,0.34146341463414637,14,0.3,0.5454545454545454,0.5,6
0.0,0.0,0,0.0,0.0,0.6,0
0.0,0.0,0,0.0,0.0,0.7,0
0.0,0.0,0,0.0,0.0,0.8,0
0.0,0.0,0,0.0,0.0,0.9,0
