root_id,root_type,source_episode_seed,source_episode_index,elapsed_step,remaining_steps,split,position_error,orientation_similarity,official_goal,current_goal_streak
root_0000_goal_entry_pending_exit,goal_entry_pending_exit,5000000,0,45,155,train,0.050397496734717,0.950908629905705,True,1
root_0001_near_goal,near_goal,5000000,0,48,152,train,0.0526274594220748,0.9407453513310328,False,0
root_0002_stable_hold,stable_hold,5000001,1,170,30,train,0.058370574579103,0.9977498494698792,True,143
root_0003_far_pre_goal_failure,far_pre_goal_failure,5000001,1,6,194,train,0.0168376360335337,0.4882439565195904,False,0
root_0004_near_goal,near_goal,5000002,2,29,171,train,0.1000395993861965,0.9613539904996672,False,0
root_0005_far_pre_goal_failure,far_pre_goal_failure,5000002,2,3,197,train,0.0040953941170816,0.6684634543588229,False,0
root_0006_stable_hold,stable_hold,5000003,3,170,30,train,0.0518733011022102,0.964452554655402,True,153
root_0007_near_goal,near_goal,5000003,3,17,183,train,0.051907355592497,0.9366662538013312,False,0
root_0008_far_pre_goal_failure,far_pre_goal_failure,5000004,4,5,195,train,0.0117011260488046,0.3632553293804685,False,0
root_0009_near_goal,near_goal,5000004,4,162,38,train,0.0520850658413366,0.9446332305162524,False,0
root_0010_far_pre_goal_failure,far_pre_goal_failure,5000005,5,125,75,train,0.0491642162422912,0.7700305132008439,False,0
root_0011_near_goal,near_goal,5000005,5,56,144,train,0.0444721913044355,0.913509126561982,False,0
root_0012_goal_entry_pending_exit,goal_entry_pending_exit,5000006,6,29,171,train,0.0624650631136431,0.9929332292855464,True,17
root_0013_far_pre_goal_failure,far_pre_goal_failure,5000006,6,149,51,train,0.0660439269427197,0.7200553054397206,False,0
root_0014_far_pre_goal_failure,far_pre_goal_failure,5000007,7,50,150,train,0.0435852788985448,0.1835386993609149,False,0
root_0015_stable_hold,stable_hold,5000008,8,89,111,train,0.0633625611921517,0.9536428383943898,True,38
root_0016_goal_entry_pending_exit,goal_entry_pending_exit,5000008,8,35,165,train,0.0643110666299302,0.9774366288455454,True,22
root_0017_near_goal,near_goal,5000009,9,35,165,train,0.0506883690228952,0.9449311316868289,False,0
root_0018_stable_hold,stable_hold,5000010,10,170,30,dev,0.0598833186857654,0.9875686487615428,True,146
root_0019_near_goal,near_goal,5000010,10,20,180,dev,0.0529889418314649,0.931926483758328,False,0
root_0020_stable_hold,stable_hold,5000011,11,170,30,train,0.0474180917430369,0.9735624099134184,True,153
root_0021_far_pre_goal_failure,far_pre_goal_failure,5000011,11,7,193,train,0.0196317570655603,0.3393043376301229,False,0
root_0022_near_goal,near_goal,5000012,12,26,174,train,0.0610186066294157,0.8692351581872361,False,0
root_0023_far_pre_goal_failure,far_pre_goal_failure,5000012,12,109,91,train,0.0325914723518812,0.6902724047529549,False,0
root_0024_far_pre_goal_failure,far_pre_goal_failure,5000013,13,100,100,train,0.0340835815312557,0.3190104421554571,False,0
root_0025_far_pre_goal_failure,far_pre_goal_failure,5000014,14,62,138,train,0.0813937886957664,0.7351511677599322,False,0
root_0026_near_goal,near_goal,5000015,15,28,172,train,0.0630396172793728,0.8696226995844084,False,0
root_0027_far_pre_goal_failure,far_pre_goal_failure,5000015,15,95,105,train,0.0760719758395759,0.586354200302872,False,0
root_0028_goal_entry_pending_exit,goal_entry_pending_exit,5000016,16,40,160,train,0.0559469169740669,0.9866283753897468,True,8
root_0029_near_goal,near_goal,5000016,16,32,168,train,0.0602248188973094,0.9373161360120194,False,0
root_0030_stable_hold,stable_hold,5000017,17,170,30,train,0.0486324303874528,0.9957940515639844,True,150
root_0031_near_goal,near_goal,5000017,17,17,183,train,0.0434265548415834,0.8509072215836131,False,0
root_0032_goal_entry_pending_exit,goal_entry_pending_exit,5000018,18,51,149,train,0.0413777631803208,0.9683139310134368,True,19
root_0033_near_goal,near_goal,5000018,18,129,71,train,0.0637889793300683,0.9496973639902002,False,0
root_0034_goal_entry_pending_exit,goal_entry_pending_exit,5000019,19,25,175,dev,0.0497142778686147,0.9796373149170208,True,6
root_0035_stable_hold,stable_hold,5000019,19,170,30,dev,0.0623474337146339,0.96509275916834,True,134
