candidate,kind,roots,strong_gain,harm,strong_gain_rate,harm_rate,mean_correction_rms
codebook_0,fixed_chunk,1200,58,121,0.04833333333333333,0.10083333333333333,0.023904248719595168
codebook_1,fixed_chunk,1200,41,121,0.034166666666666665,0.10083333333333333,0.012378586260472528
codebook_2,fixed_chunk,1200,43,96,0.035833333333333335,0.08,0.007425828247926094
codebook_3,fixed_chunk,1200,59,123,0.049166666666666664,0.1025,0.01882279403831085
codebook_4,fixed_chunk,1200,46,120,0.03833333333333333,0.1,0.013900557178033826
codebook_5,fixed_chunk,1200,53,136,0.04416666666666667,0.11333333333333333,0.021190042257981583
codebook_6,fixed_chunk,1200,48,118,0.04,0.09833333333333333,0.014851474343514482
codebook_7,fixed_chunk,1200,53,112,0.04416666666666667,0.09333333333333334,0.021289313182674553
pca_0_neg,pca,1200,36,102,0.03,0.085,0.0020772308441034206
pca_0_pos,pca,1200,30,90,0.025,0.075,0.002052822934589737
pca_1_neg,pca,1200,36,110,0.03,0.09166666666666666,0.004731251302776703
pca_1_pos,pca,1200,29,105,0.024166666666666666,0.0875,0.0036079702414766263
pca_2_neg,pca,1200,42,97,0.035,0.08083333333333333,0.007265386287278185
pca_2_pos,pca,1200,38,115,0.03166666666666667,0.09583333333333334,0.00867070623479473
pca_3_neg,pca,1200,42,105,0.035,0.0875,0.0038655158484794403
pca_3_pos,pca,1200,34,100,0.028333333333333332,0.08333333333333333,0.004728118099220511
zero,zero,1200,0,0,0.0,0.0,0.0
