epoch,train_loss,coverage,precision,harm_rate,selected_roots,roots,selected_strong_gains,selected_harms,selected_net_strong_gain,passes_constraints
1,2.5110863894224167,0.04819277108433735,0.0,0.0,12,249,0,0,0,False
5,1.6353060640394688,0.008032128514056224,0.0,0.0,2,249,0,0,0,False
10,1.20518615283072,0.04417670682730924,0.18181818181818182,0.09090909090909091,11,249,2,1,1,False
15,0.9822164382785559,0.07228915662650602,0.05555555555555555,0.05555555555555555,18,249,1,1,0,False
20,0.8500633090734482,0.04417670682730924,0.18181818181818182,0.0,11,249,2,0,2,False
25,0.7758560497313738,0.07630522088353414,0.15789473684210525,0.0,19,249,3,0,3,False
30,0.6841573845595121,0.05220883534136546,0.3076923076923077,0.23076923076923078,13,249,4,3,1,False
35,0.6310639381408691,0.0321285140562249,0.125,0.0,8,249,1,0,1,False
40,0.5986139755696058,0.04819277108433735,0.25,0.08333333333333333,12,249,3,1,2,False
45,0.5370237417519093,0.04417670682730924,0.2727272727272727,0.0,11,249,3,0,3,False
50,0.4964412823319435,0.08433734939759036,0.19047619047619047,0.19047619047619047,21,249,4,4,0,False
55,0.47618420887738466,0.03614457831325301,0.2222222222222222,0.2222222222222222,9,249,2,2,0,False
60,0.46233819145709276,0.05220883534136546,0.15384615384615385,0.0,13,249,2,0,2,False
65,0.40824259258806705,0.09236947791164658,0.2608695652173913,0.17391304347826086,23,249,6,4,2,False
70,0.38248599227517843,0.05220883534136546,0.23076923076923078,0.07692307692307693,13,249,3,1,2,False
75,0.36610525427386165,0.08835341365461848,0.18181818181818182,0.22727272727272727,22,249,4,5,-1,False
80,0.35041667986661196,0.05220883534136546,0.15384615384615385,0.3076923076923077,13,249,2,4,-2,False
85,0.31330751813948154,0.0963855421686747,0.25,0.20833333333333334,24,249,6,5,1,False
90,0.3144367169588804,0.10843373493975904,0.2222222222222222,0.14814814814814814,27,249,6,4,2,False
95,0.2785386284813285,0.060240963855421686,0.13333333333333333,0.26666666666666666,15,249,2,4,-2,False
100,0.2766069951467216,0.10441767068273092,0.19230769230769232,0.15384615384615385,26,249,5,4,1,False
105,0.252379244659096,0.1285140562248996,0.125,0.15625,32,249,4,5,-1,False
110,0.24812260922044516,0.11244979919678715,0.14285714285714285,0.17857142857142858,28,249,4,5,-1,False
115,0.23175452183932066,0.11646586345381527,0.1724137931034483,0.13793103448275862,29,249,5,4,1,False
120,0.22585768718272448,0.12048192771084337,0.2,0.13333333333333333,30,249,6,4,2,False
125,0.22064974065870047,0.1285140562248996,0.1875,0.09375,32,249,6,3,3,False
130,0.2000162098556757,0.10843373493975904,0.18518518518518517,0.14814814814814814,27,249,5,4,1,False
135,0.17897196486592293,0.15261044176706828,0.21052631578947367,0.10526315789473684,38,249,8,4,4,False
140,0.17109543387778103,0.09236947791164658,0.13043478260869565,0.2608695652173913,23,249,3,6,-3,False
145,0.15627019037492573,0.14056224899598393,0.17142857142857143,0.08571428571428572,35,249,6,3,3,False
150,0.18298723036423326,0.14056224899598393,0.17142857142857143,0.14285714285714285,35,249,6,5,1,False
155,0.13083559600636363,0.0963855421686747,0.16666666666666666,0.125,24,249,4,3,1,False
160,0.1368800885975361,0.10040160642570281,0.16,0.12,25,249,4,3,1,False
