epoch,train_loss,coverage,precision,harm_rate,selected_roots,roots,selected_strong_gains,selected_harms,selected_net_strong_gain,passes_constraints
1,2.601529836654663,0.0,0.0,0.0,0,52,0,0,0,False
5,1.9039967060089111,0.019230769230769232,0.0,0.0,1,52,0,0,0,False
10,1.080611629145486,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
15,0.7870621596063886,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
20,0.6882602402142116,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
25,0.586187618119376,0.09615384615384616,0.0,0.0,5,52,0,0,0,False
30,0.5124086822782244,0.038461538461538464,0.0,0.0,2,52,0,0,0,False
35,0.4644190626485007,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
40,0.4044975084917886,0.0,0.0,0.0,0,52,0,0,0,False
45,0.36001515814236235,0.0,0.0,0.0,0,52,0,0,0,False
50,0.33857756001608713,0.019230769230769232,0.0,0.0,1,52,0,0,0,False
55,0.2991933652332851,0.038461538461538464,0.0,0.0,2,52,0,0,0,False
60,0.271804147533008,0.019230769230769232,0.0,0.0,1,52,0,0,0,False
65,0.22285106139523642,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
70,0.18882484095437185,0.057692307692307696,0.0,0.0,3,52,0,0,0,False
75,0.1695655733346939,0.038461538461538464,0.0,0.0,2,52,0,0,0,False
80,0.18237622933728354,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
85,0.14424938069922583,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
90,0.15780886581965856,0.09615384615384616,0.0,0.0,5,52,0,0,0,False
95,0.1173304585473878,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
100,0.10676179294075284,0.11538461538461539,0.0,0.0,6,52,0,0,0,False
105,0.08260114597422737,0.11538461538461539,0.0,0.0,6,52,0,0,0,False
110,0.07224139039005552,0.11538461538461539,0.0,0.0,6,52,0,0,0,False
115,0.06035869941115379,0.09615384615384616,0.0,0.0,5,52,0,0,0,False
120,0.0529851886842932,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
125,0.05127182975411415,0.11538461538461539,0.0,0.0,6,52,0,0,0,False
130,0.04519000117267881,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
135,0.03403892261641366,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
140,0.028234496446592466,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
145,0.025630276650190353,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
150,0.02322814879672868,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
155,0.023538469203880856,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
160,0.019485314642744406,0.07692307692307693,0.0,0.0,4,52,0,0,0,False
